Annotee_Identifier	Human_Readable_Description
FBpp0206953	biogenesis of lysosome organelles complex subunit
FBpp0071022	drosophila melanogaster
FBpp0204485	gd
FBpp0179615	zinc finger protein
FBpp0240387	nuclear cap binding protein subunit
FBpp0236767	regulatory protein zeste
FBpp0127565	drosophila melanogaster
FBpp0155197	syntaxin x1
FBpp0250555	acid transporter
FBpp0156694	gdp fucose protein o fucosyltransferase
FBpp0262414	monocarboxylate transporter
FBpp0133664	gd
FBpp0203070	px domain containing protein
FBpp0163528	band domain containing protein
FBpp0215759	tetratricopeptide repeat protein
FBpp0205933	atp dependent helicase brm
FBpp0234375	inactive selenide water dikinase protein
FBpp0200486	run domain containing protein
FBpp0083990	acyl coa synthetase short chain family member 3 mitochondrial
FBpp0186570	c2h2 type domain containing protein
FBpp0151242	proteasome assembly chaperone
FBpp0078630	geranylgeranyl transferase type subunit beta
FBpp0174709	mediator of rna polymerase ii transcription subunit
FBpp0177032	decapping nuclease
FBpp0151274	chk kinase domain containing protein
FBpp0232477	mitochondrial transcription termination factor
FBpp0083685	gd
FBpp0258291	rna binding motif protein x linked
FBpp0122788	splicing factor u2af subunit
GA16114-PA	mediator of rna polymerase ii transcription subunit x1
FBpp0219470	md lipid recognition domain containing protein
FBpp0229012	microphthalmia associated transcription factor
FBpp0148069	transcription factor a mitochondrial
FBpp0177994	protein tyrosine phosphatase
FBpp0253098	peptidase m14 carboxypeptidase a domain containing protein
FBpp0165714	protein halfway
FBpp0136960	disks large tumor suppressor protein
GA11919-PA	elks rab interacting cast family member x6
FBpp0155935	protein grainyhead x1
FBpp0229218	transmembrane protein
FBpp0187611	atp synthase subunit e mitochondrial
FBpp0221810	mediator of rna polymerase ii transcription subunit
FBpp0206246	ubiquitin fusion degradation protein
FBpp0211124	adp ribosylation factor gtpase activating protein 1
FBpp0178995	actin 5c
FBpp0174923	gd
FBpp0127648	augmin complex subunit msd
FBpp0324650	upstream activation factor subunit spp
FBpp0237162	charged multivesicular body protein
FBpp0131739	dna polymerase eta
FBpp0192000	gd
FBpp0254547	rna helicase
FBpp0230613	ral gtpase activating protein subunit beta
FBpp0191383	peptidase s1 domain containing protein
FBpp0139261	cytochrome c oxidase assembly protein cox mitochondrial
FBpp0268315	nucleoside diphosphate kinase
FBpp0289427	pnpla domain containing protein
FBpp0257451	endoplasmic reticulum metallopeptidase
FBpp0120733	protein cep
GA10355-PA	syndecan
FBpp0241157	growth hormone inducible transmembrane protein
FBpp0132072	l71 8 protein
FBpp0132606	serine threonine protein kinase minibrain
FBpp0227044	coiled coil domain containing protein
FBpp0161321	exonuclease domain containing protein
FBpp0155517	cg
FBpp0319807	septin protein
FBpp0259734	gd
FBpp0159724	segmentation protein cap n collar x2
FBpp0182739	post gpi attachment to proteins factor
FBpp0238517	40s ribosomal protein s3
FBpp0261717	adenosine deaminase acting on rna
FBpp0194073	protein them
FBpp0227532	peptidase m14 carboxypeptidase a domain containing protein
GA17551-PA	estradiol 17 beta dehydrogenase
FBpp0152883	transmembrane protein
FBpp0182526	gl
FBpp0205346	microtubule associated protein futsch
FBpp0243700	n terminal ras gef domain containing protein
FBpp0172740	rho gap domain containing protein
FBpp0265911	lysosome membrane protein
FBpp0184071	gl
GA11253-PA	beclin 1 associated autophagy key regulator
FBpp0126392	drosophila melanogaster
FBpp0136733	plastin x1
FBpp0178762	rho gtpase activating protein
FBpp0247323	ribonuclease p protein subunit p30
FBpp0240453	cysteine protease
FBpp0268227	f box domain containing protein
FBpp0268780	glycerol phosphate acyltransferase 1 mitochondrial x1
FBpp0140676	protein stum
FBpp0130592	ig domain containing protein
FBpp0191567	mitochondrial amidoxime reducing component
FBpp0246665	lysosomal dipeptide transporter mfsd
FBpp0270115	ribosomal rna processing protein 14 surfeit locus c terminal domain containing
FBpp0133403	g protein coupled receptors family profile domain containing
FBpp0237221	family riboflavin transporter member 3
FBpp0167794	glucose induced degradation protein 8
FBpp0119872	serine hydrolase domain containing protein
FBpp0173939	bzip domain containing protein
FBpp0197824	40s ribosomal protein s10b
FBpp0110105	ig domain containing protein
FBpp0143478	facilitated trehalose transporter tret
FBpp0118944	mitochondrial chaperone bcs
FBpp0227996	gamma tubulin complex component
FBpp0148927	peptidase s1 domain containing protein
FBpp0245014	adp ribosylation factor protein
FBpp0132997	cilia and flagella associated protein
FBpp0328453	c type lectin domain containing protein
FBpp0246538	puratrophin
FBpp0198952	phospholipid transporting atpase
FBpp0079914	threonine trna ligase
FBpp0249267	actin 5c
FBpp0250668	odorant receptor
FBpp0240901	g protein signaling modulator
FBpp0241425	protein smaug
FBpp0074740	upf protein cg
FBpp0170352	gustatory receptor
FBpp0196281	peptidase m14 carboxypeptidase a domain containing protein
FBpp0203755	eukaryotic peptide chain release factor subunit
FBpp0236768	bee milk protein
FBpp0257123	sidestep viii
FBpp0257341	vesicular inhibitory amino acid transporter
FBpp0238074	chorion peroxidase
FBpp0158383	nadh dehydrogenase [ubiquinone] beta subcomplex subunit
FBpp0142183	at15135p
FBpp0288576	homeobox domain containing protein
FBpp0125389	cytochrome p450 4ae1
FBpp0082950	transcription factor ouib
FBpp0225152	serine rich adhesin for platelets x1
FBpp0158011	protein af
FBpp0177795	serendipity locus protein h 1
FBpp0150237	tuberin
FBpp0076005	nadh dehydrogenase [ubiquinone] alpha subcomplex subunit
FBpp0204827	gd
FBpp0118098	protein lysine n methyltransferase loc
FBpp0233609	small g protein signaling modulator
FBpp0235246	late embryogenesis abundant protein ecp x2
FBpp0236484	rna polymerase ii degradation factor x1
FBpp0228582	translation initiation factor if mitochondrial
FBpp0138466	polyadenylate binding protein
FBpp0189855	inner centromere protein a
FBpp0253346	tonsoku protein
FBpp0218609	transcription factor ouib
FBpp0145897	gamma butyrobetaine dioxygenase
FBpp0172501	phospholipase a1 vest
FBpp0117015	peptidyl trna hydrolase
FBpp0313660	centrosomal protein of kda
FBpp0153085	sh domain containing protein
FBpp0125256	peptidoglycan recognition protein
FBpp0114464	ring type e3 ubiquitin transferase
FBpp0144793	multidrug resistance associated protein lethal 2 03659
FBpp0150546	translin associated protein x
GA13236-PA	mpv protein
GA18846-PA	cg
FBpp0253104	atp dependent dna helicase pif
FBpp0266889	prefoldin subunit
FBpp0151666	mitochondrial import inner membrane translocase subunit tim
FBpp0159414	fibrinogen c terminal domain containing protein
FBpp0191128	protein valois
FBpp0310127	fasciclin x1
FBpp0167194	major facilitator superfamily mfs profile domain containing protein
FBpp0177279	replication factor c subunit
GA10006-PA	zinc finger protein
FBpp0197695	dynamin protein 1
GA16931-PA	neuronal pas domain containing protein
FBpp0259694	neural cell adhesion molecule 1
FBpp0113483	hat c terminal dimerisation domain containing protein
FBpp0207919	octopamine receptor beta 1r
FBpp0188649	xylulose kinase
FBpp0178355	regulatory protein zeste
FBpp0196307	btpa family membrane complex biogenesis protein
FBpp0190308	ubiquitin conjugation factor e4 a
FBpp0232505	actin protein 2 3 complex subunit
FBpp0260503	madf domain containing protein
FBpp0243579	upf protein c1494 01
FBpp0232906	duf 4766 domain containing protein
FBpp0236485	elongation of very long chain fatty acids protein
FBpp0259361	ap complex sigma subunit protein
FBpp0147349	single strand selective monofunctional uracil dna glycosylase
FBpp0073756	solute carrier family member
FBpp0200495	eg bacr7a4 2 protein
FBpp0222142	signal transducing adapter molecule
FBpp0203154	madf domain containing protein
FBpp0180977	caspase
FBpp0256781	protein arginine n methyltransferase
GA11269-PA	elongation factor 1 gamma
FBpp0236371	finger domain containing protein
FBpp0256979	tumor protein d52
FBpp0230762	histone h2a
FBpp0231977	acyl coenzyme a thioesterase 9 mitochondrial
FBpp0190091	protein toll
FBpp0082412	large ribosomal subunit protein ul11m
FBpp0232340	60s ribosomal protein l13
FBpp0269603	gd
FBpp0423074	secreted protein
FBpp0245151	translationally controlled tumor protein
FBpp0218949	gd
FBpp0200720	sprt domain containing protein
FBpp0123883	scavenger receptor ci
FBpp0202137	f box domain containing protein
FBpp0245264	protein regulator of cytokinesis
FBpp0126818	g protein coupled receptors family profile domain containing
FBpp0184901	dynamin gtpase
FBpp0259474	protein gooseberry
FBpp0151602	linked sulfhydryl oxidase
FBpp0079662	heart and neural crest derivatives expressed protein
FBpp0271850	protein sleepless
FBpp0140276	selenoprotein bthd
FBpp0164781	protein enhancer of rudimentary
FBpp0162549	alanine trna ligase
FBpp0198079	cytochrome b c1 complex subunit rieske mitochondrial
FBpp0087411	md lipid recognition domain containing protein
FBpp0183569	male accessory gland serine protease inhibitor
FBpp0180400	anion exchange protein
FBpp0304137	leucine rich repeat protein soc
FBpp0088838	serine arginine rich splicing factor
FBpp0140400	e3 ubiquitin protein ligase traip
FBpp0205917	gd
FBpp0260909	endoribonuclease
FBpp0136353	dna topoisomerase 2 binding protein 1 a
FBpp0165528	casein kinase substrate phosphoprotein pp domain containing protein
FBpp0129556	histone h3
FBpp0169634	atp citrate synthase
FBpp0200378	crooked neck protein
FBpp0179353	l 1 g0193
FBpp0211324	xrcc n terminal domain containing protein
FBpp0234154	reverse transcriptase domain containing protein
FBpp0236497	unknown protein
FBpp0206668	mediator of rna polymerase ii transcription subunit
FBpp0159652	protein mesh x2
FBpp0177966	peptidyl prolyl cis trans isomerase
FBpp0118250	udp glucuronosyltransferase
FBpp0166068	inward rectifier potassium channel irk
FBpp0219317	large ribosomal subunit protein bl35m
FBpp0150835	btb domain containing protein
FBpp0211161	chitin binding type domain containing protein
FBpp0212464	vitelline membrane protein vm26ab
FBpp0128000	inositol oxygenase
FBpp0129976	signal peptide peptidase x2
FBpp0071032	ionotropic glutamate receptor c terminal domain containing protein
FBpp0226861	serine protease
FBpp0138367	gbd fh domain containing protein
FBpp0256013	serine arginine repetitive matrix protein
FBpp0158203	serine threonine protein phosphatase pgam mitochondrial
FBpp0157507	rho gtpase activating protein
FBpp0135194	ubiquitin protein atg
FBpp0161150	atp dependent rna helicase
FBpp0158301	trichohyalin plectin homology domain containing protein
FBpp0243975	trithorax group protein osa x1
FBpp0140435	glutathione s transferase
FBpp0252872	polypeptide n acetylgalactosaminyltransferase
FBpp0255144	gd
FBpp0196219	peptidase s1 domain containing protein
FBpp0136886	gustatory receptor
FBpp0156867	phosphoenolpyruvate carboxykinase
FBpp0195414	gamma tubulin complex component protein
FBpp0268515	bola protein ddb g0274169
FBpp0269568	ddb and cul associated factor
FBpp0088539	olfactomedin domain containing protein
FBpp0116629	at13932p
FBpp0215417	nadh dehydrogenase [ubiquinone] flavoprotein 3 mitochondrial
FBpp0271442	protein kibra
FBpp0231723	cytochrome b5 heme binding domain containing protein
FBpp0187415	rpii upstream gene protein
FBpp0309910	homeobox domain containing protein
FBpp0174839	hydroxymethylglutaryl coa synthase
FBpp0213220	glycosylphosphatidylinositol anchor biosynthesis protein
FBpp0175382	mrna export factor
FBpp0263596	polycystic kidney disease protein
FBpp0170863	f box wd repeat containing protein ebi
FBpp0248045	udp glucuronosyltransferase
FBpp0188857	cd antigen
FBpp0158402	branched chain amino acid aminotransferase
FBpp0190738	protein dpy
FBpp0249890	cg pa
FBpp0260356	activating signal cointegrator
FBpp0075908	carbohydrate kinase pfkb domain containing protein
FBpp0147498	signal transducing adapter molecule
FBpp0208338	luciferin 4 monooxygenase
FBpp0081790	synaptic vesicle glycoprotein 2b x1
FBpp0170176	adp ribosylation factor protein 6 interacting
GA10095-PA	serine protease nudel
FBpp0214993	nadh dehydrogenase [ubiquinone] alpha subcomplex subunit
FBpp0323913	chitin binding type domain containing protein
FBpp0122326	regulator of g protein signaling
FBpp0150121	ubiquitin carboxyl terminal hydrolase
FBpp0203861	gl
FBpp0243919	dolichol phosphate mannosyltransferase subunit
FBpp0177175	trna 32 2 o methyltransferase regulator thada
FBpp0173558	f box only protein
FBpp0200595	duf 4794 domain containing protein
GA14903-PA	uv excision repair protein rad
FBpp0251590	metallothionein c
FBpp0251969	gd
FBpp0183627	oligosaccharyltransferase complex subunit
FBpp0141183	af fmr family member x1
FBpp0198196	u5 small nuclear ribonucleoprotein kda protein
FBpp0114843	f box domain containing protein
FBpp0201917	trypsin epsilon
FBpp0296972	javelin
FBpp0119625	dna rna non specific endonuclease pyrophosphatase phosphodiesterase domain containing protein
FBpp0115219	transmembrane protein 39a
FBpp0171162	modifier of mod mdg 2
FBpp0185440	structure specific endonuclease subunit slx
GA15886-PA	ribulose phosphate 3 epimerase
FBpp0253708	ef hand domain containing protein
FBpp0242539	tyrosine kinase receptor cad96ca
GA20674-PA	serine threonine protein kinase receptor
FBpp0317241	luciferin 4 monooxygenase
FBpp0077798	cchc type domain containing protein
FBpp0242072	chk kinase domain containing protein
FBpp0231536	zinc finger hit domain containing protein
FBpp0216895	female specific independent of transformer
FBpp0147192	kelch protein x1
GA10841-PA	protein regulator of cytokinesis
FBpp0234634	myelin regulatory factor
FBpp0259046	kinesin protein unc
FBpp0169233	cide n domain containing protein
FBpp0091150	histone h4
FBpp0168630	ionotropic glutamate receptor c terminal domain containing protein
FBpp0087130	at09538p
FBpp0213203	chromodomain helicase dna binding protein mi
FBpp0211854	ras protein rab
FBpp0254942	comm domain containing protein
FBpp0181070	sodium channel protein nach
FBpp0130325	mucin 5ac
FBpp0242649	chitin binding type domain containing protein
FBpp0076724	zinc finger protein
FBpp0142613	peptidase a1 domain containing protein
FBpp0071971	caspase
GA19444-PA	v type proton atpase subunit g
FBpp0255232	zinc finger and scan domain containing protein
FBpp0322737	unknown protein
FBpp0193009	duf 4766 domain containing protein
FBpp0076325	signal recognition particle receptor subunit beta
FBpp0211534	multidrug resistance protein
FBpp0225605	nascent polypeptide associated complex subunit alpha muscle specific form
FBpp0154567	phosphatidylinositol bisphosphate 3 phosphatase
FBpp0120156	gustatory receptor
FBpp0155761	male accessory gland secretory protein
FBpp0230377	glucose phosphate 1 dehydrogenase
FBpp0254260	unknown protein
FBpp0166093	tppp family protein cg
FBpp0184975	gl
FBpp0136425	p3 protein
FBpp0226014	doublecortin domain containing echinoderm microtubule associated protein
FBpp0084881	duf 4773 domain containing protein
FBpp0251210	tyrosinase copper binding domain containing protein
FBpp0262773	succinate dehydrogenase
FBpp0264176	cop signalosome complex subunit
FBpp0145588	platelet derived growth factor pdgf family profile domain containing protein
