Annotee_Identifier	Human_Readable_Description
AT5G20360.4	protein phox
AT5G49940.1	fe s biogenesis protein nfua
AT3G05170.1	phosphoglycerate mutase protein
AT2G32690.1	glycine rich protein
AT5G25880.3	nadp dependent malic enzyme 4
AT5G22000.4	e3 ubiquitin protein ligase rhf2a
CARHR083480.1	rna rnp complex interacting phosphatase
AT3G45610.1	dof zinc finger protein
CARHR085640.1	b3 domain containing protein rem
CARHR279620.1	unknown protein
AT5G11610.3	xylogalacturonan beta xylosyltransferase
AT5G22860.3	lysosomal pro x carboxypeptidase
AT1G31020.1	thioredoxin type chloroplastic
CARHR060950.1	transcription factor bhlh
CARHR107690.1	pentatricopeptide repeat containing protein mitochondrial
AT5G39660.1	dof zinc finger protein
AT4G34430.4	swi snf complex subunit smarcc
CARHR165380.1	dof zinc finger protein
AT2G19480.1	nucleosome assembly protein 1 2
CARHR143330.2	protease do 10
CARHR263810.1	beclin protein
AT1G64100.3	pentatricopeptide repeat containing protein
AT3G52960.1	peroxiredoxin mitochondrial
AT3G03420.1	mitochondrial inner membrane protease atp
AT4G23200.1	cysteine rich receptor protein kinase
AT3G54540.2	atp binding cassette sub family f member
AT4G19035.1	defensin protein
AT1G14140.1	kidney mitochondrial carrier protein
CARHR123800.2	unknown protein
AT5G12090.1	serine threonine protein kinase pak
AT3G44670.1	disease resistance protein
CARHR220810.1	cbl interacting protein kinase
AT5G02080.2	phosphopantothenate cysteine ligase
AT1G48090.1	intermembrane lipid transfer protein
CARHR134030.2	tbc domain family member
AT4G33945.1	armadillo repeat containing protein
AT1G61520.1	chlorophyll a b binding protein 2 1 chloroplastic
CARHR032340.1	f box protein
CARHR169350.1	f box lrr repeat protein
AT3G03250.2	utp glucose phosphate uridylyltransferase
CARHR138000.1	at hook motif nuclear localized protein
AT4G12210.1	e3 ubiquitin protein ligase hrd
AT1G79550.2	phosphoglycerate kinase 1
CARHR209050.1	synaptotagmin protein
AT5G60550.1	interacting serine threonine protein kinase
CARHR011110.1	unknown protein
CARHR152810.1	unknown protein
CARHR025830.2	lysosomal membrane ascorbate dependent ferrireductase
AT5G10030.2	bzip transcription factor tga
CARHR052450.2	1 4 dihydroxy naphthoyl coa synthase
CARHR129990.1	major myo inositol transporter
AT5G62165.4	agamous mads box protein
AT5G37510.2	nadh ubiquinone oxidoreductase kda subunit mitochondrial
CARHR170280.1	histone lysine n methyltransferase h3 specific
AT4G12010.1	disease resistance protein rps
CARHR033150.1	terpenoid synthase
AT1G33920.1	protein phloem
AT4G14240.1	metal transporter cnnm
AT1G54010.1	inactive gdsl esterase lipase protein
CARHR019450.2	testis specific y encoded protein
AT1G63010.1	spx domain containing membrane protein 08463
AT5G45690.1	oil body associated protein
AT1G21770.1	acetyltransferase
CARHR021700.1	extensin
AT1G71250.1	gdsl esterase lipase
AT3G46660.1	udp glycosyltransferase
AT4G25950.1	v type proton atpase subunit
AT4G25760.1	protein glutamine dumper
AT1G68600.1	aluminum activated malate transporter
CARHR040670.3	phd and ring finger domain containing protein
AT1G56440.2	mitochondrial import receptor subunit tom
AT4G28710.1	myosin
CARHR063580.2	beta carbonic anhydrase 1
AT2G31990.1	xyloglucan galactosyltransferase
CARHR109670.1	induced receptor serine threonine protein kinase
CARHR099390.1	phosphate transporter pho
CARHR035240.1	bzip transcription factor
CARHR145380.1	tata box binding protein associated factor rna polymerase i subunit b
CARHR152860.1	f box protein
CARHR244180.2	prolyl 4 hydroxylase
AT5G22700.4	f box fbd protein
CARHR071070.1	acetyltransferase
AT4G22285.1	ubiquitin carboxyl terminal hydrolase
CARHR159880.2	intermembrane lipid transfer protein vps
CARHR210580.1	f box lrr repeat protein
AT1G30140.1	unknown protein
CARHR130880.1	f box protein pp
AT1G14610.1	valine trna ligase
AT3G60870.1	at hook motif nuclear localized protein
CARHR080100.2	receptor protein
CARHR122510.1	cytochrome p450
AT3G56140.1	protein reticulata 2 chloroplastic
AT3G22590.1	parafibromin
CARHR153590.1	large ribosomal subunit protein el
AT3G22920.1	kda peptidyl prolyl cis trans isomerase
CARHR239270.1	protein activity of bc complex kinase 1 chloroplastic
AT2G25310.1	er membrane protein complex subunit
CARHR239310.1	protein kaku
CARHR274440.1	2 phosphoglycerate kinase
AT2G31780.1	e3 ubiquitin protein ligase
CARHR157460.1	dek protein
AT5G41700.3	ubiquitin conjugating enzyme e2 17
CARHR071310.1	hydroxyproline o galactosyltransferase hpgt
AT5G14140.1	zinc finger protein
CARHR086430.2	vesicular inhibitory amino acid transporter
AT1G49610.1	f box lrr repeat protein
CARHR288930.1	interferon induced gtp binding protein mx
CARHR074920.1	glycerophosphocholine phosphodiesterase
AT1G47056.1	f box protein
CARHR207390.1	s protein
AT4G24550.1	ap complex subunit mu
AT4G16650.1	o fucosyltransferase
AT1G22950.1	2 oxoglutarate and iron dependent oxygenase domain containing protein
AT2G40830.2	e3 ubiquitin protein ligase rnf
AT5G18270.2	nac domain containing protein 21 22
AT3G10870.1	methylesterase
AT1G08860.1	copine
CARHR083420.1	pentatricopeptide repeat containing protein
CARHR147580.1	sodium dependent phosphate transporter
CARHR185010.2	serine threonine protein kinase wnk
CARHR007800.6	protein tyrosine sulfotransferase
AT2G35800.1	mitochondrial substrate carrier family protein
AT2G15530.5	e3 ubiquitin protein ligase
AT3G52140.3	clustered mitochondria protein
AT2G32230.2	proteinaceous rnase p 1
CARHR115030.1	u11 u12 small nuclear ribonucleoprotein kda protein
CARHR241620.3	copper transporting atpase paa chloroplastic
AT5G65460.1	kinesin protein kin
AT5G59613.1	atp synthase small subunit 6 mitochondrial
AT5G48720.4	protein xri
AT1G33100.1	protein detoxification
CARHR226200.1	pectin acetylesterase
AT5G58330.3	malate dehydrogenase 1
CARHR003650.1	unknown protein
AT4G19630.1	heat stress transcription factor a 5
CARHR010040.2	phosphoglycerate mutase protein
CARHR268850.3	protein src
CARHR134560.2	e3 ubiquitin protein ligase rnf
CARHR089940.2	chromodomain helicase dna binding protein
AT3G19270.2	abscisic acid 8 hydroxylase
CARHR088790.1	ubiquitin protein atg
AT4G35920.4	protein mid complementing activity
AT1G01340.2	cyclic nucleotide gated ion channel
AT2G24180.1	cytochrome p450
CARHR201760.1	protein anti silencing
AT3G23200.2	casp protein 485429
AT1G12250.3	thylakoid lumenal protein tl chloroplastic
CARHR012260.1	pectate lyase
CARHR103610.3	enoyl [acyl carrier protein] reductase [nadh] 1
AT5G45750.1	ras protein rab 11a
AT3G45870.7	wat protein
AT1G23205.1	pectinesterase inhibitor
AT1G15390.1	peptide deformylase
CARHR116060.1	zinc finger bed domain containing protein daysleeper
CARHR033330.1	protein mei
AT3G44540.3	fatty acyl coa reductase 2
CARHR033280.1	immune associated nucleotide binding protein
AT4G22410.2	ubiquitin carboxyl terminal hydrolase
AT4G09984.1	defensin protein
CARHR173920.1	aquaporin tip
AT5G45400.1	replication protein a kda dna binding subunit
AT1G50950.1	endoplasmic reticulum golgi intermediate compartment protein
CARHR174290.2	calcineurin b protein
AT3G02680.1	nibrin
AT1G80270.4	pentatricopeptide repeat containing protein mitochondrial
AT1G54630.1	acyl carrier protein 1 chloroplastic
AT4G31980.1	deubiquitinase desi
CARHR243440.1	pentatricopeptide repeat containing protein
AT3G15660.2	monothiol glutaredoxin mitochondrial
AT4G17910.3	gpi anchored wall transfer protein
CARHR051710.2	aldo keto reductase 08125
CARHR076160.1	large ribosomal subunit protein el
AT4G23280.1	cysteine rich receptor protein kinase
CARHR159160.1	g type lectin s receptor serine threonine protein kinase
AT1G30330.1	auxin response factor
CARHR276380.2	mrna transport regulator mtr
CARHR128820.1	accelerated cell death
AT4G00090.1	transducin beta protein
CARHR290480.1	dynein light chain 1 cytoplasmic
AT1G26220.1	[ribosomal protein n acetyltransferase
CARHR128360.1	wd repeat containing protein
CARHR202280.2	polynucleotide 5 hydroxyl kinase grc
AT1G68020.1	alpha trehalose phosphate synthase [udp forming]
AT4G02405.1	o methyltransferase 1 chloroplastic
CARHR173850.1	pectinesterase
CARHR032680.1	indole acetic acid amido synthetase gh
AT2G19610.1	e3 ubiquitin protein ligase rsl
AT2G41360.1	f box kelch repeat protein
AT3G13700.1	rna binding protein with multiple splicing
AT2G43680.2	protein iq domain
AT4G29035.1	s protein
AT5G09230.6	nad dependent protein deacetylase
CARHR016660.2	serine incorporator
CARHR097630.2	protein detoxification
AT5G03630.1	monodehydroascorbate reductase 1 peroxisomal
CARHR109370.1	signal recognition particle receptor subunit beta
CARHR230900.1	germination specific cysteine protease
CARHR226570.1	chitinase protein idgf
AT5G23910.1	kinesin protein kif
AT3G03210.1	protein altered xyloglucan
CARHR260930.1	agamous mads box protein
CARHR260940.1	valine trna ligase
CARHR024660.1	disease resistance protein rrs
AT5G67580.2	single myb histone
AT2G37360.1	abc transporter g family member
AT1G01700.4	rop guanine nucleotide exchange factor
AT3G05940.1	transmembrane protein 184c
AT5G14930.2	senescence associated carboxylesterase
AT2G02020.1	protein nrt ptr family
CARHR098890.1	adp ribosylation factor 2
AT3G21760.1	udp glycosyltransferase
ATCG01270.1	unknown protein
AT2G47900.3	tubby protein
AT1G65070.4	endonuclease muts
AT5G48060.1	multiple c2 domain and transmembrane region protein
CARHR081140.1	protein sine
CARHR156590.1	protein early flowering
AT1G13150.1	cytochrome p450
CARHR217530.4	protein flx
CARHR180060.1	eukaryotic peptide chain release factor gtp binding subunit
AT5G15450.1	chaperone protein clpb
AT2G27580.1	zinc finger and an domain containing stress associated protein
CARHR210350.3	unknown protein
CARHR044180.1	proteasome subunit alpha
CARHR108440.2	rna demethylase
AT5G06030.1	s protein
AT1G77405.1	pentatricopeptide repeat containing protein
AT1G63050.1	membrane bound o acyltransferase
AT5G32470.1	bifunctional th protein mitochondrial
CARHR047450.1	disease resistance protein
AT1G61560.10	mlo protein
AT1G14580.1	protein indeterminate domain 4 chloroplastic
CARHR158190.1	ankyrin repeat containing protein
AT3G17440.1	novel plant snare
CARHR122830.1	kda class i heat shock protein
AT1G16090.1	wall associated receptor kinase
AT3G16410.1	jacalin lectin
AT1G47290.2	beta hydroxysteroid dehydrogenase delta 5 >4 isomerase type
CARHR248710.1	transcription factor myb
AT1G69400.1	mrna export factor
AT3G26910.3	unknown protein
AT3G10910.1	ring h2 finger protein atl
AT3G19160.1	trna dimethylallyltransferase
CARHR116670.1	snf domain containing protein classy
CARHR177750.1	f box fbd protein
CARHR012720.2	kinesin heavy chain
CARHR044260.1	polyubiquitin
AT5G63240.1	glucan endo beta glucosidase
AT4G25720.3	glutaminyl peptide cyclotransferase
AT5G42780.1	zinc finger homeodomain protein
CARHR074130.1	d glycerate 3 kinase chloroplastic
CARHR082240.1	peroxisomal membrane protein
AT4G16280.2	cugbp elav family member 1
AT2G21410.1	v type proton atpase kda subunit a
CARHR049850.1	f box protein
AT5G12290.3	nuclear control of atpase protein
CARHR156430.4	abc transporter a family member
AT1G31810.1	formin protein
AT5G28680.1	receptor protein kinase
AT5G16740.1	amino acid transporter
CARHR000080.1	ubiquitin c terminal hydrolase
AT2G42280.3	bhlh transcription factor
CARHR165470.1	cytoplasmic serine threonine protein kinase
AT3G17280.2	f box protein
CARHR258570.1	photosystem i iron sulfur center
CARHR021770.1	tom protein
CARHR127460.1	large ribosomal subunit protein bl
CARHR136400.1	two component response regulator
CARHR186320.1	folate binding protein
AT4G16940.5	disease resistance protein
AT3G60740.1	tubulin specific chaperone d
AT3G16940.3	calmodulin binding transcription activator
AT2G01630.2	glucan endo beta glucosidase
AT5G36170.1	peptide chain release factor
AT3G20310.1	ethylene responsive transcription factor
CARHR289370.1	cysteine rich receptor protein kinase
CARHR128450.2	protein detoxification
AT2G44130.1	f box kelch repeat protein
AT5G50680.2	sumo activating enzyme subunit 1
CARHR100470.1	proline rich receptor protein kinase perk
AT2G32430.1	hydroxyproline o galactosyltransferase hpgt
AT3G24880.1	chromatin modification protein eaf
CARHR098800.1	f box lrr repeat protein
CARHR293700.1	disease resistance protein rps
AT3G20180.1	disease resistance protein
CARHR190140.1	gem protein
AT1G77210.3	sugar transport protein mst
CARHR177030.1	disease resistance protein rrs
CARHR141780.1	glycosyltransferase domain containing protein
CARHR006820.3	cst complex subunit stn
CARHR042760.2	pentatricopeptide repeat containing protein mitochondrial
AT3G51000.1	bifunctional epoxide hydrolase
AT1G44170.1	aldehyde dehydrogenase family member
AT3G12690.1	serine threonine protein kinase
AT2G40770.2	dna repair protein rad
CARHR161180.1	non specific lipid transfer protein
AT5G18640.2	phospholipase a1 ii
AT3G03260.1	homeobox leucine zipper protein hdg
AT1G29620.1	unknown protein
CARHR062690.1	receptor expression enhancing protein
CARHR059030.1	dna cytosine methyltransferase
AT4G24860.1	outer mitochondrial transmembrane helix translocase
CARHR032390.1	nac domain containing protein
AT4G24010.1	cellulose synthase a catalytic subunit [udp forming]
CARHR229480.1	trehalose 6 phosphate phosphatase
AT1G54560.2	myosin
AT5G65460.5	kinesin protein kin
AT5G51330.1	protein ameiotic
CARHR056030.1	unknown protein
AT3G58380.1	math domain and coiled coil containing protein
AT2G24200.2	leucine aminopeptidase 2 chloroplastic
CARHR236330.1	gtpase activating protein gyp
AT5G62910.1	unknown protein
AT5G11750.1	large ribosomal subunit protein bl
AT4G09980.2	n 6 adenosine methyltransferase non catalytic subunit mettl
CARHR067520.1	phosphoribosylformylglycinamidine synthase
CARHR108900.1	induced receptor serine threonine protein kinase
AT3G26730.6	e3 ubiquitin protein ligase rnf
CARHR173930.2	van binding protein
AT1G22520.2	micos complex subunit mic
AT2G18810.1	b3 domain containing protein
AT3G60990.1	galactan beta galactosyltransferase gals
AT1G16040.1	glycosylphosphatidylinositol anchor biosynthesis protein
AT5G58540.3	inactive receptor serine threonine protein kinase
CARHR201530.2	mitochondrial import inner membrane translocase subunit tim
AT3G57740.1	wall associated receptor kinase
CARHR035940.1	f box protein
AT5G47240.1	nudix hydrolase
CARHR136180.1	abscisic acid insensitive protein
AT2G30150.1	udp glycosyltransferase
AT5G26860.1	lon protease 1 mitochondrial
AT1G09530.6	bhlh transcription factor
AT5G66920.1	laccase
AT1G20270.2	prolyl 4 hydroxylase
AT1G07260.1	udp glycosyltransferase
CARHR060640.2	cdp diacylglycerol inositol 3 phosphatidyltransferase
CARHR074530.1	transcription repressor ofp
AT1G03550.4	secretory carrier associated membrane protein
CARHR169320.1	f box protein
CARHR148650.1	glycosyltransferase family protein 0530710
CARHR208170.1	r3h domain containing protein
CARHR247800.2	fructose bisphosphate aldolase 1
CARHR098620.1	protein tesmin tso cxc
AT4G26020.1	protein at 1
AT5G38590.4	f box fbd protein
AT1G12430.1	kinesin heavy chain
AT2G01920.1	unknown protein
CARHR033760.2	unknown protein
AT2G16710.1	iron sulfur cluster assembly mitochondrial
AT2G29710.1	udp glycosyltransferase
AT1G17930.1	protein main
CARHR085280.1	galactokinase
AT5G56700.2	f box fbd protein
AT5G12230.1	mediator of rna polymerase ii transcription subunit 19a
CARHR150810.1	f box protein
CARHR255680.1	f box protein skip
AT1G69520.1	thiol s methyltransferase tmt1a
AT4G16480.2	proton myo inositol cotransporter
AT2G17033.2	pentatricopeptide repeat containing protein
AT3G10470.1	zinc finger protein zat
AT1G67900.4	btb poz domain containing protein
AT5G46460.1	pentatricopeptide repeat containing protein
ATMG01090.1	nadh ubiquinone oxidoreductase chain
AT5G19330.2	ankyrin repeat and btb protein 3
CARHR197660.1	f box protein
AT1G63260.1	tetraspanin
CARHR051320.1	syntaxin protein
AT1G62570.1	flavin containing monooxygenase fmo gs ox
AT2G43180.1	oxaloacetate decarboxylase
CARHR191420.2	dna polymerase epsilon subunit
AT3G53780.2	inactive rhomboid protein
AT5G66240.1	wd repeat containing protein 82
CARHR042890.1	f box protein
AT5G09290.1	3 2 5 bisphosphate nucleotidase
AT2G26100.1	hydroxyproline o galactosyltransferase hpgt
AT1G34150.1	trna pseudouridine 38 39 synthase
CARHR126360.1	cellulose synthase a catalytic subunit [udp forming]
AT3G13970.2	ubiquitin protein atg
CARHR283510.1	nadh quinone oxidoreductase subunit n
CARHR130270.1	e2f transcription factor
AT1G25210.1	udp o acyl n acetylglucosamine deacetylase
CARHR057100.3	transcription elongation factor spt
CARHR079470.2	sugar transporter erd
CARHR089650.1	f box lrr repeat protein
CARHR289270.2	immune associated nucleotide binding protein
CARHR150340.2	l type lectin domain containing receptor kinase 3
AT1G05580.2	cation h + antiporter 23
AT1G79950.4	regulator of telomere elongation helicase
CARHR233190.1	small ribosomal subunit protein es
CARHR132750.1	lactosylceramide 4 alpha galactosyltransferase
CARHR279400.2	cyclin d1 1
